Ai,Real,MLP,LR
$A_{1}$,6,5,5
$A_{2}$,17,19,18
$A_{3}$,30,30,30
$A_{4}$,13,13,12
$A_{5}$,29,29,29
$A_{6}$,12,12,11
$A_{7}$,5,6,6
$A_{8}$,7,7,7
$A_{9}$,4,4,4
$A_{10}$,19,20,17
$A_{11}$,21,21,21
$A_{12}$,27,27,27
$A_{13}$,18,18,19
$A_{14}$,2,2,2
$A_{15}$,9,9,13
$A_{16}$,24,24,24
$A_{17}$,8,8,8
$A_{18}$,28,28,28
$A_{19}$,10,11,10
$A_{20}$,23,25,26
$A_{21}$,14,14,14
$A_{22}$,1,1,1
$A_{23}$,15,15,16
$A_{24}$,26,26,25
$A_{25}$,22,22,22
$A_{26}$,20,17,20
$A_{27}$,11,10,9
$A_{28}$,25,23,23
$A_{29}$,3,3,3
$A_{30}$,16,16,15
